사용월,호선명,역ID,지하철역,04:00:00~04:59:59,,05:00:00~05:59:59,,06:00:00~06:59:59,,07:00:00~07:59:59,,08:00:00~08:59:59,,09:00:00~09:59:59,,10:00:00~10:59:59,,11:00:00~11:59:59,,12:00:00~12:59:59,,13:00:00~13:59:59,,14:00:00~14:59:59,,15:00:00~15:59:59,,16:00:00~16:59:59,,17:00:00~17:59:59,,18:00:00~18:59:59,,19:00:00~19:59:59,,20:00:00~20:59:59,,21:00:00~21:59:59,,22:00:00~22:59:59,,23:00:00~23:59:59,,00:00:00~00:59:59,,01:00:00~01:59:59,,02:00:00~02:59:59,,03:00:00~03:59:59,,작업일시
,,,,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,
2020-09,경부선,257,군포,102,3,"4,992","1,889","8,242","6,911","16,122","26,988","14,829","41,757","8,077","6,685","5,800","4,229","5,370","3,925","5,729","4,444","5,680","4,787","5,499","4,233","5,822","5,366","7,371","6,438","17,120","9,662","32,602","11,954","11,096","11,695","9,581","6,996","5,939","6,270","3,317","4,317","1,230","3,053",65,441,0,0,0,0,0,0,2020-10-03 09:02:33
2020-09,경부선,258,의왕,166,4,"5,802","1,634","11,334","6,600","26,078","20,344","24,714","21,612","10,202","6,901","7,851","5,107","7,433","5,067","7,328","5,519","7,861","6,491","7,298","6,411","7,511","7,886","9,571","9,673","18,577","14,132","19,177","22,677","9,338","20,098","6,951","11,930","5,440","9,734","2,842","7,570","1,231","4,684",84,897,0,0,0,0,0,0,2020-10-03 09:02:33
2020-09,경부선,259,성균관대,163,3,"7,604","1,565","22,859","4,541","53,960","8,090","42,675","16,731","18,082","10,906","12,731","7,731","11,494","9,261","12,709","9,361","12,646","12,043","11,934","11,278","12,293","13,559","14,684","16,408","18,741","25,834","19,300","44,954","11,428","43,047","9,221","23,686","8,722","20,584","6,885","15,013","2,563","9,432",154,"1,754",0,0,0,0,0,0,2020-10-03 09:02:33
2020-09,경부선,260,화서,463,5,"5,901","1,744","16,674","5,493","33,129","4,202","22,965","7,558","9,520","4,464","6,600","3,844","6,352","4,134","5,989","4,114","5,758","5,595","5,375","5,409","5,660","6,515","7,479","7,462","9,084","14,916","8,056","24,754","4,658","21,788","3,415","12,058","2,910","10,604","2,169","7,233",652,"4,614",30,980,0,0,0,0,0,0,2020-10-03 09:02:33
2020-09,경부선,261,수원,"2,310",35,"17,227","6,399","29,123","24,498","60,408","43,329","51,520","54,777","31,655","47,751","27,844","38,222","31,583","39,855","34,917","47,381","35,675","48,042","38,254","49,372","43,880","49,141","53,468","54,062","63,007","70,140","73,945","88,873","58,699","73,550","60,132","42,130","41,580","32,940","31,090","23,542","11,363","15,344",283,"3,704",0,0,0,0,0,0,2020-10-03 09:02:33
2020-09,경부선,262,독산,485,3,"6,226","3,226","14,270","13,274","32,683","35,973","30,312","87,252","16,061","38,417","11,760","14,023","11,417","9,670","12,848","11,596","13,088","11,243","12,748","10,208","14,390","12,459","20,543","13,939","42,689","19,252","62,711","33,604","29,917","27,289","15,234","14,528","12,143","15,754","7,116","10,381","2,018","5,866",50,411,0,0,0,0,0,0,2020-10-03 09:02:33
2020-09,경부선,263,세류,442,4,"3,009",761,"6,066","2,638","11,259","4,085","7,504","3,952","3,828","2,436","2,878","2,130","2,795","2,234","2,663","2,294","2,622","2,425","2,558","2,519","2,927","2,505","3,693","3,753","4,850","5,127","4,707","8,532","2,940","7,706","2,368","4,603","1,972","4,450",954,"3,037",334,"1,627",8,616,0,0,0,0,0,0,2020-10-03 09:02:33
2020-09,경부선,264,병점,"2,804",25,"6,181","3,639","18,959","10,232","39,107","17,760","28,192","20,300","16,153","10,092","12,848","8,386","12,642","9,260","13,928","10,191","12,872","10,849","12,733","11,937","13,831","12,262","17,559","17,322","24,902","22,367","26,836","34,019","14,363","33,463","10,681","22,072","8,869","18,076","5,935","13,165","1,768","8,540",17,"4,519",0,0,0,0,0,0,2020-10-03 09:02:33
2020-09,경부선,265,세마,222,2,"1,741",635,"4,121","1,440","7,395","2,980","5,607","5,259","4,114","1,807","2,754","1,290","2,310","1,681","2,442","1,606","2,740","2,028","2,434","2,088","2,555","1,732","3,088","2,813","4,104","3,793","5,006","6,095","2,076","5,715","1,451","3,854","1,546","3,153",737,"2,580",352,"1,415",26,111,0,0,0,0,0,0,2020-10-03 09:02:33
2020-09,경부선,266,오산대,183,0,"2,021",651,"4,784","1,960","8,501","3,704","5,520","6,745","3,686","2,709","2,711","2,387","2,531","2,294","2,934","2,323","3,363","3,599","3,215","3,034","3,500","2,090","4,887","3,376","5,351","4,672","6,704","8,148","3,171","6,034","2,457","4,062","2,515","3,541","1,298","2,316",648,"1,643",56,76,0,0,0,0,0,0,2020-10-03 09:02:33
2020-09,경부선,267,오산,487,4,"4,992","1,504","12,046","7,919","17,102","19,698","15,337","16,608","11,297","10,511","10,062","7,881","10,166","7,362","11,464","8,971","10,834","10,023","10,813","9,508","11,206","11,490","14,154","12,876","19,966","16,444","22,002","22,041","12,514","17,787","9,997","13,894","7,339","11,049","4,465","7,040","1,586","4,288",43,255,1,0,0,0,0,0,2020-10-03 09:02:33
2020-09,경부선,268,진위,25,1,740,232,"1,291","2,327","2,130","5,993","1,874","6,646","1,385","1,110","1,004","1,006","1,052",876,"1,322",821,"1,242",963,"1,267",804,"1,587",976,"2,304","1,187","5,159","1,435","7,406","2,064","2,819","1,845","1,559",973,"1,105","1,358",576,"1,054",171,481,7,41,0,0,0,0,0,0,2020-10-03 09:02:33
2020-09,경부선,269,송탄,126,4,"6,156",644,"6,715","2,657","10,737","4,336","7,427","6,175","5,476","3,173","4,980","2,708","5,034","3,406","5,120","3,615","5,236","3,700","4,622","4,437","5,074","4,928","5,995","5,420","6,522","7,441","7,850","8,443","4,633","10,219","3,336","6,341","2,837","6,814","1,458","5,853",590,"3,047",24,320,0,0,0,0,0,0,2020-10-03 09:02:33
2020-09,경부선,270,서정리,58,0,"2,436","7,611","6,737","5,890","9,539","9,563","8,433","10,671","5,824","4,424","5,767","4,348","6,122","3,915","7,234","5,229","6,369","5,774","6,648","5,290","6,963","5,054","9,641","8,766","15,663","9,438","14,760","10,273","8,472","11,076","5,730","6,980","3,923","6,503","1,944","5,498",911,"3,421",17,338,0,0,0,0,0,0,2020-10-03 09:02:33
2020-09,경부선,271,지제,8,0,840,"1,691","2,256","4,877","5,096","7,017","3,778","4,888","2,139","2,352","1,896","1,476","1,908","2,063","2,820","2,089","2,079","1,709","2,380","1,839","3,481","2,822","4,155","2,657","7,515","2,574","6,599","4,893","4,487","3,747","2,607","2,739","2,647","2,153","1,854","1,912",585,"1,074",0,52,0,0,0,0,0,0,2020-10-03 09:02:33
2020-09,경부선,272,평택,199,6,"6,260","2,478","11,512","7,322","20,359","13,745","17,428","17,597","13,479","14,813","12,854","11,070","12,758","13,423","13,924","13,878","14,831","14,788","14,765","15,110","15,643","15,774","18,789","18,729","22,684","21,877","22,988","25,369","16,690","20,464","15,704","14,794","10,579","11,661","6,999","8,659","3,114","5,649",17,"1,022",0,0,0,0,0,0,2020-10-03 09:02:33
2020-09,경부선,273,성환,28,0,"1,594",714,"2,519","1,936","4,932","9,597","4,171","10,309","3,778","5,027","3,587","3,603","4,047","3,931","4,821","5,722","5,697","5,291","5,560","4,452","5,867","4,029","7,509","4,588","12,249","4,939","9,912","6,073","4,642","4,539","4,102","3,897","2,279","3,920","1,324","3,102",591,"2,544",39,437,0,0,0,0,0,0,2020-10-03 09:02:33
2020-09,경부선,274,직산,76,1,393,234,"1,025",806,"1,381","1,870",814,"2,628",839,676,768,687,659,678,692,776,743,801,729,598,995,650,919,870,"1,936","1,001","2,169","1,201",925,"1,357",698,642,518,675,350,494,120,385,12,67,0,0,0,0,0,0,2020-10-03 09:02:33
2020-09,경부선,275,두정,"1,168",2,"3,801",708,"7,124","2,225","10,785","6,017","8,389","6,963","5,590","6,523","5,227","3,876","5,126","5,373","5,309","5,897","6,203","6,975","6,289","5,796","6,390","6,070","7,455","6,912","9,546","8,931","9,580","12,672","6,321","9,447","5,090","8,790","4,177","6,240","3,376","5,574","1,699","4,237",17,"1,002",0,0,0,0,0,0,2020-10-03 09:02:33
2020-09,경부선,276,천안,"1,757",4,"2,467",627,"4,413","3,429","7,482","4,326","5,870","7,242","6,067","7,338","6,242","6,749","6,850","8,073","6,821","8,016","7,988","9,591","8,461","7,252","8,869","10,032","9,763","8,281","9,898","9,395","10,312","10,884","7,359","8,361","5,616","7,384","4,433","3,712","2,624","3,491","1,097","2,006",7,"1,330",0,0,0,0,0,0,2020-10-03 09:02:33
2020-09,경부선,277,당정,23,0,"3,183",991,"8,797","2,917","21,206","7,350","18,389","13,624","8,448","4,348","5,694","3,321","5,518","3,391","5,789","3,841","5,842","4,239","5,072","4,258","5,360","5,402","6,389","6,666","9,194","10,046","13,021","15,052","5,621","16,794","4,094","9,941","2,947","8,222","2,095","6,162",783,"4,378",51,843,0,0,0,0,0,0,2020-10-03 09:02:33
2020-09,경부선,278,서동탄,1,0,"1,291",7,"4,344",582,"8,810","1,492","3,770","1,573","1,650",651,"1,246",592,"1,256",833,"1,236",949,"1,181",887,"1,064","1,133","1,372","1,402","1,458","1,536","1,681","2,484","2,227","3,734",865,"4,939",721,"2,438",484,"1,533",363,"1,704",123,"1,006",4,704,1,2,0,0,0,0,2020-10-03 09:02:33
2020-09,경부선,279,광명,0,0,18,"2,165","2,239","3,302","10,418","3,563","8,174","2,844","4,555","2,841",698,"2,109","2,762","1,369","3,305","2,111","2,397","1,777","2,399","3,710","2,698","2,297","7,936","2,768","1,234","4,030","5,897","9,557","5,810","6,032","1,006","3,262","3,420","2,154","1,403","3,143",289,27,0,0,0,0,0,0,0,0,2020-10-03 09:02:33
2020-09,경인선,293,개봉,"1,161",9,"16,892","5,963","31,948","10,356","77,179","14,968","72,700","21,392","40,110","16,439","26,763","12,847","22,870","15,022","23,428","18,218","22,867","17,621","20,889","21,346","20,184","26,182","22,988","31,079","24,900","49,337","25,311","83,649","16,162","61,624","12,248","35,034","9,959","30,568","6,406","21,305","2,491","12,044",101,"1,984",0,0,0,0,0,0,2020-10-03 09:02:33
2020-09,경인선,294,오류동,826,5,"10,949","1,834","16,142","5,012","42,524","5,707","42,485","9,639","21,724","8,489","14,612","6,850","12,500","8,323","13,223","9,423","13,083","9,739","11,431","11,237","11,744","13,870","12,323","15,209","12,806","21,371","12,430","39,083","7,741","31,816","5,798","19,685","4,937","17,689","3,554","11,717","1,268","6,907",90,"1,351",0,1,0,0,0,0,2020-10-03 09:02:33
2020-09,경인선,295,역곡,"1,125",11,"24,465","3,807","39,686","9,777","104,929","12,287","98,356","24,600","49,094","20,080","29,900","17,717","26,583","18,794","27,501","20,632","26,297","22,258","23,676","24,269","23,434","27,555","25,266","39,177","28,822","55,028","28,255","98,130","18,586","83,522","15,523","45,444","12,888","40,606","9,711","29,877","3,935","17,271",233,"2,230",0,0,0,0,0,0,2020-10-03 09:02:33
2020-09,경인선,296,부천,"2,730",17,"32,421","4,777","37,474","11,189","92,621","17,980","90,795","36,954","49,132","34,253","35,428","30,906","35,840","30,840","38,003","35,591","37,830","38,240","35,728","41,186","37,865","42,774","40,401","50,033","44,956","67,682","49,031","104,551","32,903","91,544","27,320","47,806","25,916","43,480","19,011","30,325","8,003","19,616",521,"3,536",0,0,0,0,0,0,2020-10-03 09:02:33
2020-09,경인선,297,송내,"1,442",15,"14,136","8,165","32,733","14,543","94,364","27,421","76,420","67,645","39,078","35,146","26,310","18,968","25,976","17,383","27,364","19,416","24,874","21,258","22,943","21,534","24,540","23,391","28,558","29,838","37,035","45,501","64,025","77,966","28,002","74,173","19,288","39,572","16,413","34,047","11,293","25,314","4,923","14,193",657,"2,933",0,0,0,0,0,0,2020-10-03 09:02:33
2020-09,경인선,298,부평,"7,491",83,"18,919","4,803","31,150","10,557","73,299","16,515","67,035","26,922","34,775","31,282","28,714","27,226","29,022","30,188","31,322","33,838","31,779","39,643","32,723","41,799","34,648","44,512","39,596","50,823","45,118","63,092","44,556","101,379","34,747","79,191","33,487","44,941","31,137","37,738","22,408","27,574","10,278","16,897","1,641","4,578",0,1,0,0,0,0,2020-10-03 09:02:33
2020-09,경인선,299,백운,157,2,"6,979","1,604","12,405","3,072","25,328","3,950","22,611","8,038","12,081","6,114","8,972","4,841","8,290","5,618","8,432","6,502","7,923","6,710","7,354","6,948","7,230","8,686","7,946","10,348","8,874","13,240","8,548","22,647","4,510","20,163","3,365","12,357","2,988","10,262","1,903","8,075",974,"5,166",121,"1,320",0,1,0,0,0,0,2020-10-03 09:02:33
2020-09,경인선,300,동암,717,5,"18,830","5,190","26,438","9,191","47,868","13,612","45,078","16,261","25,372","11,955","18,105","11,429","16,647","12,940","17,365","13,634","17,249","14,598","15,666","14,839","15,413","19,271","18,495","22,036","20,728","32,256","20,450","46,993","13,511","42,257","10,640","27,414","9,430","23,686","5,615","17,641","2,777","10,669",193,"2,581",0,0,0,0,0,0,2020-10-03 09:02:33
2020-09,경인선,301,주안,"1,048",10,"12,176","3,749","21,917","8,296","54,505","16,051","44,258","24,857","26,384","17,351","19,729","12,753","19,288","12,540","21,097","15,658","21,139","15,155","20,007","17,365","20,946","17,308","24,245","22,216","30,251","31,245","32,671","45,659","18,864","48,551","15,731","27,653","14,292","24,072","9,742","18,915","4,645","11,767",358,"3,123",0,0,0,0,0,0,2020-10-03 09:02:33
2020-09,경인선,302,제물포,919,4,"6,684","1,500","12,047","4,932","31,214","10,735","26,122","20,459","14,023","10,149","10,523","7,167","10,556","6,529","10,783","8,018","10,561","8,559","10,360","8,541","11,070","8,952","14,975","11,652","15,636","16,240","18,666","22,452","8,065","23,669","5,706","14,380","4,267","12,775","2,838","9,855","1,340","6,939",72,"1,953",0,0,0,0,0,0,2020-10-03 09:02:33
2020-09,경인선,303,동인천,"1,654",3,"6,707","2,968","13,574","10,953","34,952","19,682","26,015","28,191","16,475","13,388","14,155","13,751","15,174","14,938","15,827","14,826","17,019","16,044","16,911","14,994","18,642","15,440","22,662","18,151","28,877","20,043","33,065","26,958","15,633","29,204","11,152","16,644","8,325","12,987","5,119","11,092","1,832","7,138",7,"2,157",0,0,0,0,0,0,2020-10-03 09:02:33
2020-09,경인선,304,인천,295,2,"1,272",955,"2,488","2,914","4,823","4,471","4,152","6,022","2,550","2,778","2,515","3,484","3,196","4,962","4,489","5,704","5,439","5,740","6,468","6,032","6,884","4,998","8,335","4,174","10,137","3,566","9,216","2,985","4,920","2,349","3,798","1,797","2,721","1,462","1,508","1,053",496,679,3,560,1,6,0,0,0,0,2020-10-03 09:02:33
2020-09,경인선,305,구일,269,17,"3,322","1,458","8,372","3,130","22,264","6,726","20,265","9,601","9,613","5,262","6,573","3,565","6,125","3,650","6,312","4,622","6,270","5,187","6,082","5,501","6,150","6,799","7,082","7,997","8,029","11,128","9,092","22,954","4,486","18,071","3,184","9,544","3,195","7,910","2,308","5,325",762,"3,090",32,658,0,0,0,0,0,0,2020-10-03 09:02:33
2020-09,경인선,306,소사,"1,328",37,"15,789","2,782","15,485","5,071","31,300","7,059","28,183","10,509","17,007","7,390","12,623","7,294","10,783","7,496","10,828","8,497","9,920","9,055","9,171","9,732","9,229","10,314","9,548","13,379","11,726","18,422","11,016","28,005","6,500","24,837","4,750","13,827","4,067","14,050","2,770","9,725","1,100","6,344",94,"1,174",0,0,0,0,0,0,2020-10-03 09:02:33
2020-09,경인선,307,부개,"1,841",47,"8,555","2,659","14,225","4,318","33,018","5,088","25,303","8,841","13,831","5,764","10,018","5,100","9,241","5,690","8,944","6,488","8,883","7,554","8,184","7,525","7,745","9,243","9,577","12,022","9,890","14,367","9,455","27,098","5,444","22,053","3,614","12,662","3,329","11,940","2,267","8,201","1,023","5,461",163,"1,350",0,0,0,0,0,0,2020-10-03 09:02:33
2020-09,경인선,308,간석,308,4,"4,543","1,080","9,640","1,882","20,302","3,397","16,393","6,995","9,012","4,130","6,576","3,623","6,291","4,573","5,917","4,939","6,229","5,421","5,646","5,673","6,071","6,137","6,852","7,457","6,749","11,117","7,490","15,608","4,220","16,114","3,120","9,221","2,893","7,759","2,052","5,846","1,072","3,827",98,"1,148",0,0,0,0,0,0,2020-10-03 09:02:33
2020-09,경인선,309,도원,578,5,"2,337","1,016","3,068","1,652","5,579","3,694","4,994","14,539","3,900","3,320","3,389","3,145","3,629","2,978","3,210","2,994","3,670","3,487","3,791","3,482","4,582","3,750","8,708","4,291","6,386","4,472","6,435","5,183","2,723","4,751","1,875","3,199","1,437","2,817",747,"1,775",253,"1,492",12,690,0,0,0,0,0,0,2020-10-03 09:02:33
2020-09,경인선,310,온수(성공회대입구),291,5,"5,059","1,302","7,543","4,087","21,031","7,489","19,120","9,978","11,186","4,737","8,253","4,904","7,289","5,110","7,770","5,718","7,999","6,126","7,622","6,407","7,760","7,240","9,993","8,949","9,323","12,138","9,202","20,136","4,629","16,931","3,740","9,405","3,184","8,204","2,029","6,336",911,"3,545",107,690,2,0,0,0,0,0,2020-10-03 09:02:33
2020-09,경인선,311,중동,824,10,"9,431","1,331","14,820","4,657","36,446","5,906","28,113","11,414","14,444","6,876","9,788","6,435","9,442","6,474","9,713","7,634","9,377","7,829","8,399","8,811","8,594","9,611","9,862","11,529","10,515","17,228","11,228","26,536","6,083","25,829","4,800","14,524","3,855","11,623","2,592","8,593","1,038","5,062",119,"1,824",0,0,0,0,0,0,2020-10-03 09:02:33
2020-09,경인선,312,도화,361,5,"3,292",743,"5,545","2,374","12,826","3,359","10,036","5,555","6,186","2,873","4,608","2,667","4,113","2,780","4,163","3,450","4,414","3,511","3,984","3,789","3,879","3,789","4,694","5,473","5,258","5,832","5,212","8,052","2,642","8,250","1,816","4,890","1,404","4,087",797,"3,252",447,"2,166",22,980,0,0,0,0,0,0,2020-10-03 09:02:33
2020-09,경원선,128,이촌(국립중앙박물관),80,3,"1,143",520,"3,010","2,014","6,229","3,936","7,065","7,186","5,423","4,261","4,114","2,584","3,696","2,343","4,352","2,825","4,495","3,044","4,418","3,065","4,882","3,348","6,401","3,884","8,677","4,535","8,826","6,607","5,059","5,254","3,626","3,436","3,529","2,838","2,225","2,469",856,"1,490",61,540,0,0,0,0,0,0,2020-10-03 09:02:33
2020-09,경원선,129,서빙고,42,0,867,568,"1,714","2,764","2,455","3,874","2,687","6,779","2,278","2,678","1,538","1,238","1,670","1,211","1,816","1,400","2,014","1,393","2,163","1,386","2,449","1,607","3,796","1,867","5,322","2,117","6,050","2,735","2,466","2,211","1,586","1,350","1,234","1,233",703,923,307,677,59,172,0,0,0,0,0,0,2020-10-03 09:02:33
2020-09,경원선,130,한남,190,3,"1,915",681,"2,464","4,359","4,034","9,685","5,032","11,777","4,011","9,760","3,976","4,733","4,133","3,587","4,103","3,832","4,237","4,750","5,069","3,621","6,202","4,391","7,254","4,432","12,274","5,442","12,696","6,481","6,521","4,670","4,361","2,669","4,500","2,882","2,979","1,810","1,111","1,159",43,441,0,0,0,0,0,0,2020-10-03 09:02:33
2020-09,경원선,131,옥수,0,0,0,15,1,69,27,15,44,192,26,20,17,107,9,137,12,48,11,17,22,33,17,28,221,13,261,17,31,31,251,10,24,3,19,6,27,2,13,1,0,0,0,0,0,0,0,0,2020-10-03 09:02:33
2020-09,경원선,132,응봉,132,0,"1,118",288,"2,225","1,082","5,319","1,525","5,930","2,076","3,449","1,047","2,265",966,"1,880","1,159","1,815","1,302","2,031","1,575","1,908","1,811","2,015","2,154","2,364","2,644","2,405","3,256","2,352","4,362","1,461","4,301","1,104","2,086",886,"1,644",593,"1,374",236,746,18,250,0,0,0,0,0,0,2020-10-03 09:02:33
2020-09,경원선,133,왕십리(성동구청),943,6,"5,153",771,"7,147","4,179","20,966","9,803","33,735","18,417","20,873","12,783","11,928","12,236","11,655","13,979","13,908","15,916","14,560","17,737","14,975","17,999","16,998","20,267","18,945","23,697","22,413","32,867","24,525","52,336","17,715","39,811","17,083","22,467","19,181","17,790","13,986","14,089","5,972","7,924",262,"3,341",0,0,0,0,0,0,2020-10-03 09:02:33
2020-09,경원선,134,청량리(서울시립대입구),"1,272",7,"6,229",925,"6,941","8,501","23,232","9,919","23,708","15,484","19,751","22,076","17,725","22,644","15,864","24,786","20,499","22,353","19,327","21,825","22,912","24,714","23,990","25,917","22,842","25,693","25,065","26,847","22,695","37,407","17,754","28,665","19,236","14,580","7,892","11,841","6,508","8,402","2,244","4,649",77,"1,971",0,0,0,0,0,0,2020-10-03 09:02:33
2020-09,경원선,136,외대앞,560,12,"4,686","1,437","7,049","3,062","15,505","3,302","18,226","9,296","11,262","8,423","8,993","6,706","8,606","6,789","9,601","7,622","9,627","8,139","9,941","8,322","10,568","10,377","11,170","11,122","12,609","13,832","10,386","19,468","7,343","16,797","5,782","10,127","5,332","9,548","4,274","7,814","1,739","4,937",51,932,0,0,0,0,0,0,2020-10-03 09:02:33
2020-09,경원선,137,신이문,"1,473",36,"8,212","1,150","12,361","2,260","32,718","4,080","33,245","6,981","17,983","4,183","11,982","5,023","9,883","6,214","10,042","6,738","10,119","7,329","8,869","8,115","8,561","11,898","7,980","13,560","7,687","17,441","7,413","28,426","5,133","23,006","3,040","13,958","2,438","11,309","1,785","8,984",810,"5,049",39,778,0,0,0,0,0,0,2020-10-03 09:02:33
2020-09,경원선,138,석계,"1,112",7,"5,871","2,056","9,474","4,566","21,855","5,079","25,480","7,492","16,569","5,882","12,345","6,150","10,721","7,071","10,329","8,104","10,198","8,686","9,723","9,796","9,669","14,169","9,453","16,151","10,194","20,931","9,399","33,989","6,847","24,869","5,252","15,172","4,950","13,478","3,543","9,262","1,616","5,498",60,968,0,0,0,0,0,0,2020-10-03 09:02:33
2020-09,경원선,139,광운대,"2,163",17,"5,372","1,244","11,094","2,641","28,730","4,562","26,054","8,830","13,125","6,713","9,603","5,845","8,122","6,895","8,704","7,071","8,883","7,564","8,728","8,288","8,288","9,618","8,808","11,062","9,578","14,380","8,700","22,136","5,169","19,758","4,154","11,706","3,772","9,195","2,971","7,271","1,273","6,149",71,"2,528",0,0,0,0,0,0,2020-10-03 09:02:33
2020-09,경원선,140,월계,750,0,"4,954","1,064","7,917","2,421","20,255","6,298","17,218","7,155","10,832","4,120","8,368","4,095","7,291","4,968","7,615","5,772","7,136","6,278","7,219","5,909","7,293","7,660","8,721","9,925","7,386","10,976","7,286","16,968","4,149","15,380","2,989","8,364","2,512","7,299","1,665","5,458",729,"3,267",36,738,0,0,0,0,0,0,2020-10-03 09:02:33
2020-09,경원선,141,녹천,966,7,"3,900",670,"6,904","1,409","18,239","2,820","14,708","4,071","9,171","1,986","6,458","2,634","5,203","3,129","6,360","3,997","5,335","3,788","4,578","3,776","4,678","5,294","5,341","6,595","4,696","7,645","4,246","12,454","3,018","11,426","1,741","6,580","1,574","5,702",823,"4,190",385,"2,817",43,493,0,0,0,0,0,0,2020-10-03 09:02:33
2020-09,경원선,142,창동,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2020-10-03 09:02:33
2020-09,경원선,358,방학,773,7,"10,452","1,521","13,236","5,126","26,955","7,974","24,659","17,157","15,210","8,754","12,393","8,427","11,075","8,674","11,374","9,354","11,641","9,439","10,836","11,263","11,223","13,668","11,461","15,855","12,500","16,646","15,583","25,518","8,291","23,233","5,782","11,946","4,512","10,787","3,145","7,312","1,083","4,512",89,"1,489",0,0,0,0,0,0,2020-10-03 09:02:33
2020-09,경원선,359,도봉,366,18,"6,753","1,276","8,468","2,816","17,202","4,046","16,271","9,022","10,736","6,874","8,951","7,050","8,138","6,086","7,091","6,479","8,078","7,062","8,118","7,272","7,989","9,028","7,617","10,096","8,482","10,617","9,014","15,070","4,453","13,885","2,884","7,651","2,317","6,513","1,482","4,815",573,"2,763",68,973,0,0,0,0,0,0,2020-10-03 09:02:33
2020-09,경원선,360,도봉산,284,5,"5,634",938,"8,526","2,541","20,552","4,213","19,111","6,785","11,721","9,668","9,539","13,703","9,396","10,710","10,734","11,881","13,061","9,538","14,796","9,082","17,263","8,204","18,539","7,783","16,393","7,040","13,361","8,689","8,125","7,685","4,712","4,418","3,032","3,693","1,754","3,109",572,"1,892",38,857,0,0,0,0,0,0,2020-10-03 09:02:33
2020-09,경원선,361,망월사,418,9,"7,000",979,"11,081","3,056","22,489","3,508","21,663","10,202","12,139","8,089","9,619","6,782","8,787","6,101","8,936","8,830","8,838","7,397","8,475","8,503","8,804","9,333","8,711","11,560","8,826","14,009","8,652","20,500","4,497","20,188","3,372","11,414","2,914","9,608","2,201","7,293",760,"4,137",110,"1,395",0,0,0,0,0,0,2020-10-03 09:02:33
2020-09,경원선,362,회룡,"1,120",19,"12,527","2,033","22,965","5,193","48,458","7,444","38,864","10,855","21,783","9,200","16,321","8,974","14,951","9,103","14,988","11,857","14,078","11,892","12,330","13,409","11,876","14,996","11,235","19,526","11,387","23,803","10,295","37,111","6,679","36,673","5,075","19,572","4,182","16,980","2,928","11,925","1,025","6,434",104,"2,361",0,0,0,0,0,0,2020-10-03 09:02:33
2020-09,경원선,363,의정부,"2,270",14,"9,072","2,147","19,716","7,634","39,300","13,074","35,635","29,378","20,335","27,883","17,391","21,597","19,444","20,363","20,953","21,548","21,348","26,348","22,259","25,381","24,189","24,489","26,525","25,803","30,126","30,335","33,836","42,687","22,369","40,182","22,294","23,457","14,502","20,635","10,920","13,883","3,747","8,664",268,"3,552",0,0,0,0,0,0,2020-10-03 09:02:33
2020-09,경원선,364,가능,462,6,"7,079","1,734","10,102","4,305","21,438","4,906","18,467","11,977","10,548","7,127","8,414","5,103","7,891","4,940","7,711","6,099","7,273","6,634","6,843","5,892","7,064","7,270","7,818","8,623","8,990","10,892","8,032","16,802","5,411","16,844","3,837","9,718","2,994","7,932","2,322","6,051",755,"4,267",78,887,0,0,0,0,0,0,2020-10-03 09:02:33
2020-09,경원선,365,녹양,236,1,"4,508",825,"7,491","2,495","15,119","3,711","12,619","8,227","6,927","3,878","5,707","3,054","5,264","3,605","5,353","3,935","4,847","3,949","4,516","3,449","5,031","5,100","5,092","6,390","5,795","7,746","6,691","11,420","3,554","11,293","2,451","7,785","1,949","5,745","1,295","4,437",420,"3,244",39,841,0,0,0,0,0,0,2020-10-03 09:02:33
2020-09,경원선,366,양주,"1,389",5,"4,619","1,523","10,864","5,486","27,190","9,734","21,072","11,040","12,402","7,090","10,323","5,855","9,105","6,994","9,231","7,380","8,785","6,293","8,276","7,199","8,640","7,882","9,806","10,204","10,438","11,605","12,178","18,821","6,474","18,263","3,551","12,013","2,941","9,078","1,436","7,099",459,"4,166",11,"1,967",0,0,0,0,0,0,2020-10-03 09:02:33
2020-09,경원선,367,덕계,9,0,"2,126",539,"5,787","1,907","10,460","2,306","8,751","3,587","4,113","1,472","3,104","1,270","2,739","1,614","2,568","1,985","2,648","1,677","2,346","1,958","2,271","2,792","2,639","2,943","3,178","4,713","3,274","6,324","1,562","7,004",931,"4,697",687,"3,215",548,"2,034",152,"1,849",9,511,0,0,0,0,0,0,2020-10-03 09:02:33
2020-09,경원선,368,덕정,0,0,"3,182","1,449","7,602","4,976","16,591","10,392","14,078","11,179","7,696","5,475","5,811","3,829","6,494","4,198","6,375","5,244","6,284","5,111","5,822","4,190","5,950","5,554","6,797","6,686","9,669","10,471","10,974","11,558","5,207","12,451","3,426","7,821","3,005","7,400","1,933","4,207",832,"3,133",125,843,0,0,0,0,0,0,2020-10-03 09:02:33
