사용월,호선명,역ID,지하철역,04:00:00~04:59:59,,05:00:00~05:59:59,,06:00:00~06:59:59,,07:00:00~07:59:59,,08:00:00~08:59:59,,09:00:00~09:59:59,,10:00:00~10:59:59,,11:00:00~11:59:59,,12:00:00~12:59:59,,13:00:00~13:59:59,,14:00:00~14:59:59,,15:00:00~15:59:59,,16:00:00~16:59:59,,17:00:00~17:59:59,,18:00:00~18:59:59,,19:00:00~19:59:59,,20:00:00~20:59:59,,21:00:00~21:59:59,,22:00:00~22:59:59,,23:00:00~23:59:59,,00:00:00~00:59:59,,01:00:00~01:59:59,,02:00:00~02:59:59,,03:00:00~03:59:59,,작업일시
,,,,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,
2020-09,2호선,14,을지로4가,6,0,878,"1,002","1,490","10,705","2,465","27,193","4,287","66,233","5,657","39,720","7,622","20,881","10,902","18,090","13,044","15,833","13,927","14,957","17,167","14,707","19,897","12,610","24,054","10,377","41,320","9,212","59,595","7,795","28,323","4,535","13,566","2,236","10,758","1,933","6,010","1,443","2,029",924,2,93,0,1,0,0,0,0,2020-10-03 09:02:33
2020-09,2호선,15,동대문역사문화공원(DDP),250,0,"7,229",840,"4,575","6,663","5,452","18,938","7,857","45,260","7,194","24,766","7,454","19,126","10,246","19,008","10,946","15,432","12,449","16,569","15,392","16,615","19,344","14,796","24,293","13,838","30,670","14,688","34,356","17,186","21,430","20,979","15,370","12,106","16,139","8,764","10,158","6,009","4,048","5,028",5,344,0,0,0,0,0,0,2020-10-03 09:02:33
2020-09,2호선,16,신당,26,1,"5,569","1,130","10,300","7,390","22,792","16,196","35,264","32,283","21,290","20,012","14,566","15,488","14,336","15,453","15,729","15,202","16,766","16,400","17,366","17,163","18,228","17,724","20,286","20,498","24,012","26,361","30,269","36,050","19,110","24,724","13,760","15,042","11,251","14,245","7,975","10,040","3,122","6,806",1,70,1,0,0,0,0,0,2020-10-03 09:02:33
2020-09,2호선,17,상왕십리,56,0,"5,333",477,"10,982","4,616","32,144","10,641","47,989","31,519","25,995","15,744","14,827","10,522","13,663","9,520","14,225","10,568","14,560","11,951","14,018","12,171","15,095","13,403","15,182","16,827","19,042","24,816","24,010","41,902","14,760","28,495","9,570","16,588","8,412","16,794","5,792","12,017","1,815","7,823",0,1,0,0,0,0,0,0,2020-10-03 09:02:33
2020-09,2호선,18,왕십리(성동구청),858,6,"6,232",696,"8,398","4,423","21,836","10,473","36,677","25,098","21,983","14,971","13,946","10,680","14,330","10,986","16,382","12,337","16,915","13,445","16,997","13,912","18,807","15,291","22,458","17,587","26,588","24,522","31,932","40,939","19,305","26,753","17,830","15,389","19,067","13,611","15,208","10,495","7,619","7,583",62,111,0,0,0,0,0,0,2020-10-03 09:02:33
2020-09,2호선,19,한양대,1,0,858,275,"2,031","5,178","4,568","9,979","7,083","30,036","4,754","21,352","4,130","13,570","5,385","8,420","6,254","9,754","6,667","10,567","7,651","9,520","9,199","7,106","13,281","6,622","22,542","6,901","22,529","8,046","10,975","4,968","8,440","3,853","8,599","3,566","6,878","2,791","3,051","2,002",0,2,0,0,0,0,0,0,2020-10-03 09:02:33
2020-09,2호선,20,뚝섬,29,1,"3,447","2,083","7,187","13,290","16,678","29,231","23,434","111,969","13,757","64,084","10,363","24,125","10,524","17,056","13,080","18,252","14,921","20,271","17,488","18,950","20,530","19,331","26,100","20,565","43,627","23,922","97,330","33,071","47,398","20,857","27,544","11,244","23,529","9,579","14,280","7,119","4,485","4,821",2,19,0,0,0,0,0,0,2020-10-03 09:02:33
2020-09,2호선,21,성수,38,1,"5,021","3,017","8,702","25,508","20,426","64,643","26,438","228,814","20,130","105,432","15,838","34,622","16,620","26,424","19,077","26,599","23,492","29,387","26,302","27,177","30,906","29,171","40,067","28,667","82,631","31,930","178,149","41,911","76,427","26,418","41,906","13,965","38,809","12,135","23,317","9,489","6,768","7,444",4,"2,512",1,0,0,1,0,0,2020-10-03 09:02:33
2020-09,2호선,22,건대입구,195,16,"14,240","1,827","18,373","16,273","44,660","23,590","75,564","53,821","49,061","37,797","27,155","30,043","25,855","29,967","29,108","36,234","32,036","40,862","33,876","41,971","36,778","46,857","42,044","52,343","52,516","71,337","67,294","111,131","48,004","79,680","48,891","45,409","48,578","43,211","39,086","31,098","17,327","18,251",16,"2,384",0,0,0,0,0,0,2020-10-03 09:02:33
2020-09,2호선,23,구의(광진구청),25,2,"12,579","1,025","22,739","8,803","57,117","12,914","93,637","34,479","52,998","21,088","26,442","15,738","21,313","15,214","22,039","17,296","22,765","19,323","21,035","21,159","21,102","26,838","23,592","30,721","27,159","44,125","35,174","76,630","18,979","56,024","14,322","35,082","13,827","33,538","10,816","25,371","4,639","12,712",3,"1,179",0,1,0,0,0,0,2020-10-03 09:02:33
